Port_Name,Direction,Width,Index,Comment
CLK,INPUT,1,-,-
RST,INPUT,1,-,-
SOFT_RST,INPUT,1,-,-
RESET_ADDRESS,INPUT,40,-,-
CSR_RW_RDATA,INPUT,64,-,-
CSR_CSR_STALL,INPUT,1,-,-
CSR_XCPT,INPUT,1,-,-
CSR_ERET,INPUT,1,-,-
CSR_EVEC,INPUT,64,-,-
CSR_INTERRUPT,INPUT,1,-,-
CSR_INTERRUPT_CAUSE,INPUT,64,-,-
ICACHE_RESP_BITS_DATABLOCK,INPUT,128,-,-
ICACHE_RESP_BITS_VADDR,INPUT,40,-,-
ICACHE_RESP_VALID,INPUT,1,-,-
ICACHE_REQ_READY,INPUT,1,-,-
PTWINVALIDATE,INPUT,1,-,-
TLB_RESP_MISS,INPUT,1,-,-
TLB_RESP_XCPT_IF,INPUT,1,-,-
iptw_resp_valid_i,INPUT,1,-,-
DMEM_ORDERED,INPUT,1,-,-
DMEM_REQ_READY,INPUT,1,-,-
DMEM_RESP_BITS_DATA_SUBW,INPUT,64,-,-
DMEM_RESP_BITS_NACK,INPUT,1,-,-
DMEM_RESP_BITS_REPLAY,INPUT,1,-,-
DMEM_RESP_VALID,INPUT,1,-,-
DMEM_XCPT_MA_ST,INPUT,1,-,-
DMEM_XCPT_MA_LD,INPUT,1,-,-
DMEM_XCPT_PF_ST,INPUT,1,-,-
DMEM_XCPT_PF_LD,INPUT,1,-,-
IO_FETCH_PC_VALUE,INPUT,40,-,-
IO_FETCH_PC_UPDATE,INPUT,1,-,-
IO_REG_READ,INPUT,1,-,-
IO_REG_ADDR,INPUT,5,[4:0],-
IO_REG_WRITE,INPUT,1,-,-
IO_REG_WRITE_DATA,INPUT,64,[63:0],-
istall_test,INPUT,1,-,-
CSR_RW_ADDR,OUTPUT,12,[11:0],-
CSR_RW_CMD,OUTPUT,3,[2:0],-
CSR_RW_WDATA,OUTPUT,64,-,-
CSR_EXCEPTION,OUTPUT,1,-,-
CSR_RETIRE,OUTPUT,1,-,-
CSR_CAUSE,OUTPUT,64,-,-
CSR_PC,OUTPUT,40,-,-
ICACHE_INVALIDATE,OUTPUT,1,-,-
ICACHE_REQ_BITS_IDX,OUTPUT,12,[11:0],-
ICACHE_REQ_BITS_KILL,OUTPUT,1,-,-
ICACHE_REQ_VALID,OUTPUT,1,-,-
ICACHE_RESP_READY,OUTPUT,1,-,-
ICACHE_REQ_BITS_VPN,OUTPUT,28,[27:0],-
TLB_REQ_BITS_VPN,OUTPUT,28,[27:0],-
TLB_REQ_VALID,OUTPUT,1,-,-
DMEM_REQ_VALID,OUTPUT,1,-,-
DMEM_OP_TYPE,OUTPUT,4,[3:0],-
DMEM_REQ_CMD,OUTPUT,5,[4:0],-
DMEM_REQ_BITS_DATA,OUTPUT,64,-,-
DMEM_REQ_BITS_ADDR,OUTPUT,40,-,-
DMEM_REQ_BITS_TAG,OUTPUT,8,[7:0],-
DMEM_REQ_INVALIDATE_LR,OUTPUT,1,-,-
DMEM_REQ_BITS_KILL,OUTPUT,1,-,-
IO_FETCH_PC,OUTPUT,40,-,-
IO_DEC_PC,OUTPUT,40,-,-
IO_RR_PC,OUTPUT,40,-,-
IO_EXE_PC,OUTPUT,40,-,-
IO_WB_PC,OUTPUT,40,-,-
IO_WB_PC_VALID,OUTPUT,1,-,-
IO_WB_ADDR,OUTPUT,5,[4:0],-
IO_WB_WE,OUTPUT,1,-,-
IO_WB_BITS_ADDR,OUTPUT,64,-,-
IO_REG_READ_DATA,OUTPUT,64,-,-
io_core_pmu_branch_miss,OUTPUT,1,-,-
io_core_pmu_EXE_STORE,OUTPUT,1,-,-
io_core_pmu_EXE_LOAD,OUTPUT,1,-,-
io_core_pmu_new_instruction,OUTPUT,1,-,-
Err:510,,,,
